Disease,ID,Count,Description,ONTOLOGY
Arrhythmias,GO:0008227,5,G protein-coupled amine receptor activity,MF
Arrhythmias,GO:0015844,5,monoamine transport,BP
Arrhythmias,GO:0015874,5,norepinephrine transport,BP
Arrhythmias,GO:0051937,5,catecholamine transport,BP
Arrhythmias,GO:0098810,5,neurotransmitter reuptake,BP
Arrhythmias,GO:0015081,4,sodium ion transmembrane transporter activity,MF
Arrhythmias,GO:0019229,4,regulation of vasoconstriction,BP
Arrhythmias,GO:0019369,4,arachidonic acid metabolic process,BP
Arrhythmias,GO:0020037,4,heme binding,MF
Arrhythmias,GO:0035725,4,sodium ion transmembrane transport,BP
Arrhythmias,GO:0042734,4,presynaptic membrane,CC
Arrhythmias,GO:0046906,4,tetrapyrrole binding,MF
Arrhythmias,GO:0071466,4,cellular response to xenobiotic stimulus,BP
Arrhythmias,GO:0071875,4,adrenergic receptor signaling pathway,BP
Arrhythmias,GO:0071880,4,adenylate cyclase-activating adrenergic receptor signaling pathway,BP
Arrhythmias,GO:1901338,4,catecholamine binding,MF
Arrhythmias,GO:0001975,3,response to amphetamine,BP
Arrhythmias,GO:0003044,3,regulation of systemic arterial blood pressure mediated by a chemical signal,BP
Arrhythmias,GO:0006584,3,catecholamine metabolic process,BP
Arrhythmias,GO:0009712,3,catechol-containing compound metabolic process,BP
Arrhythmias,GO:0014061,3,regulation of norepinephrine secretion,BP
Arrhythmias,GO:0015837,3,amine transport,BP
Arrhythmias,GO:0019098,3,reproductive behavior,BP
Arrhythmias,GO:0021984,3,adenohypophysis development,BP
Arrhythmias,GO:0031690,3,adrenergic receptor binding,MF
Arrhythmias,GO:0033604,3,negative regulation of catecholamine secretion,BP
Arrhythmias,GO:0035094,3,response to nicotine,BP
Arrhythmias,GO:0035150,3,regulation of tube size,BP
Arrhythmias,GO:0035296,3,regulation of tube diameter,BP
Arrhythmias,GO:0042310,3,vasoconstriction,BP
Arrhythmias,GO:0044298,3,cell body membrane,CC
Arrhythmias,GO:0045664,3,regulation of neuron differentiation,BP
Arrhythmias,GO:0045777,3,positive regulation of blood pressure,BP
Arrhythmias,GO:0048148,3,behavioral response to cocaine,BP
Arrhythmias,GO:0048241,3,epinephrine transport,BP
Arrhythmias,GO:0048243,3,norepinephrine secretion,BP
Arrhythmias,GO:0050432,3,catecholamine secretion,BP
Arrhythmias,GO:0051048,3,negative regulation of secretion,BP
Arrhythmias,GO:0051952,3,regulation of amine transport,BP
Arrhythmias,GO:0051953,3,negative regulation of amine transport,BP
Arrhythmias,GO:0061098,3,positive regulation of protein tyrosine kinase activity,BP
Arrhythmias,GO:0097746,3,blood vessel diameter maintenance,BP
Arrhythmias,GO:1901020,3,negative regulation of calcium ion transmembrane transporter activity,BP
Arrhythmias,GO:1903531,3,negative regulation of secretion by cell,BP
Arrhythmias,GO:0005901,2,caveola,CC
Arrhythmias,GO:0006690,2,icosanoid metabolic process,BP
Arrhythmias,GO:0006937,2,regulation of muscle contraction,BP
Arrhythmias,GO:0006939,2,smooth muscle contraction,BP
Arrhythmias,GO:0006940,2,regulation of smooth muscle contraction,BP
Arrhythmias,GO:0007189,2,adenylate cyclase-activating G protein-coupled receptor signaling pathway,BP
Arrhythmias,GO:0007193,2,adenylate cyclase-inhibiting G protein-coupled receptor signaling pathway,BP
Arrhythmias,GO:0007565,2,female pregnancy,BP
Arrhythmias,GO:0007617,2,mating behavior,BP
Arrhythmias,GO:0008217,2,regulation of blood pressure,BP
Arrhythmias,GO:0010460,2,positive regulation of heart rate,BP
Arrhythmias,GO:0014074,2,response to purine-containing compound,BP
Arrhythmias,GO:0015718,2,monocarboxylic acid transport,BP
Arrhythmias,GO:0030168,2,platelet activation,BP
Arrhythmias,GO:0030594,2,neurotransmitter receptor activity,MF
